# 국립국어원의 외래어 표기법의 용례
# http://www.korean.go.kr/front/foreignSpell/foreignSpellList.do?mn_id=96
# https://www.data.go.kr/subMain.jsp?param=REFUQUAxNTAwMzkxMg==#/L2NvbW0vY29tbW9uU2VhcmNoL29yZ2luRGF0YVNldCRAXjAxMm0xJEBecHVibGljRGF0YVBrPTE1MDAzOTEyJEBeYnJtQ2Q9T0MwMDA4JEBeZXhjZWxDb3VudD0wJEBeZG93bmxvYWRDb3VudD05MyRAXm9yZ0luZGV4PURBVEEkQF5za2lwUm93cz0wJEBebWF4Um93cz0xMA==
gahnite	가나이트
metallicon	메탈리콘
metallic	메탈릭
metal back	메탈백
metal base	메탈베이스
metal ceramics	메탈세라믹
metal ski	메탈스키
metal ketyl	메탈케틸
metal tape	메탈테이프
metal haloid lamp	메탈할로이드램프
Metternich	메테르니히
METO	메토
methotrexate	메토트렉사트
Meton	메톤
metol	메톨
metronome	메트로놈
metronidazole	메트로니다졸
metropolis	메트로폴리스
metropolitan	메트로폴리탄
Metropolitan Opera House	메트로폴리탄오페라하우스
methionine	메티오닌
methyl	메틸
methyl green	메틸그린
methylglyoxal	메틸글리옥살
methylnaphthalene	메틸나프탈렌
methyldopa	메틸도파
methyl red	메틸레드
methylene	메틸렌
methylene blue	메틸렌블루
methyl violet	메틸바이올렛
methylbenzene	메틸벤젠
methyl cellulose	메틸셀룰로오스
methylamine	메틸아민
methyl alcohol	메틸알코올
methyl ether	메틸에테르
Methyl ethyl keton	메틸에틸케톤
methyl orange	메틸오렌지
meprobamate	메프로바메이트
Mephisto	메피스토
Mephistopheles	메피스토펠레스
Mexico dollar	멕시코달러
Menderes	멘데레스
Mendel	멘델
mendelevium	멘델레븀
Mendeleev	멘델레예프
Mendelism	멘델리즘
Mendelssohn	멘델스존
Maine de Biran	멘드비랑
Menshevism	멘셰비즘
menstruation	멘스트루에이션
Menshikov	멘시코프
Menzel	멘첼
menthane	멘탄
menthone	멘톤
Melanesia	멜라네시아
melanin	멜라닌
melamine	멜라민
melatonin	멜라토닌
Melanchthon	멜란히톤
Philipp	필리프
Melampus	멜람푸스
Mellon	멜런
melena	멜레나
Meleagros	멜레아그로스
melo	멜로
melodrama	멜로드라마
melody	멜로디
melodion	멜로디언
Melozzo da Forli	멜로초 다포를리
melon	멜론
melinite	멜리나이트
melissa	멜리사
Mehlis	멜리스
Georges	조르주
melilite	멜릴라이트
Melba	멜바
Dame Nellie	데임 넬리
Melbourne	멜버른
Melville	멜빌
melton	멜턴
Memnon	멤논
member	멤버
membership	멤버십
Memphis	멤피스
Menger	멩거
Mencken	멩켄
mho	모
Morgan	모건
mogul	모굴
monad	모나드
Monarchianism	모나르키아니즘
Mona Lisa	모나리자
monazite	모나자이트
monadnock	모내드녹
Monet	모네
Monera	모네라
Moneta	모네타
Monnet Plan	모네플랜
Monel metal	모넬메탈
Monod	모노
monogram	모노그램
monodrama	모노드라마
monody	모노디
monaural	모노럴
monorail	모노레일
monomania	모노마니아
monomer	모노머
monoscope	모노스코프
monoski	모노스키
monotheism	모노시이즘
monoamine	모노아민
monocolor	모노컬러
monochord	모노코드
monochromator	모노크로메이터
monochrome	모노크롬
monocle	모노클
monotype	모노타이프
monotone	모노톤
monophony	모노포니
monologue	모놀로그
monism	모니즘
Monica	모니카
monitor	모니터
monitoring	모니터링
monilia	모닐리아
morning	모닝
morning meeting	모닝 미팅
morning coat	모닝코트
morning call	모닝콜
modernist	모더니스트
modernism	모더니즘
modern design	모던디자인
modern ballet	모던발레
modern art	모던아트
modern jazz	모던재즈
modern craft	모던크래프트
modern classic	모던클래식
model	모델
modelling	모델링
model case	모델케이스
model house	모델하우스
modem	모뎀
module	모듈
modular cell	모듈러셀
modular programming	모듈러프로그래밍
modulation	모듈레이션
mode	모드
mode filter	모드필터
Modigliani	모딜리아니
mora	모라
moratorium	모라토리엄
Morand	모랑
moral risk	모럴리스크
moralist	모럴리스트
mores	모레스
moraine	모레인
Morelli	모렐리
Moro	모로
Moreau	모로
Maurois	모루아
Morgagni	모르가니
Morgenstern	모르겐슈테른
mortar	모르타르
mortar pump	모르타르펌프
morphactin	모르팍틴
morphine	모르핀
Moury	모리
Matthew Fontaine	매슈 폰테인
Morris	모리스
morris dance	모리스댄스
Morrison	모리슨
Mauriac	모리아크
morin	모린
moment	모멘트
moment musical	모멘트뮤지컬
Momos	모모스
Maubant	모방
Moberg	모베리
MOBS	모브스
Moby Dick	모비 딕
mobility	모빌리티
mobile eye	모빌아이
mobile ham	모빌햄
Mosaddeq	모사데크
Mossasaurus	모사사우루스
moshav	모샤브
motion	모션
motion tracer	모션트레이서
motion pitching	모션피칭
MOSS	모스
Morse	모스
Samuel Finley Breese	새뮤얼 핀리 브리즈
MOS	모스
moss green	모스그린
Mosca	모스카
mosque	모스크
MOS transistor	모스트랜지스터
Moslem	모슬렘
moa	모아
More	모어
Moerai	모에라이
Meuman	모이만
Moyse	모이즈
mosaic	모자이크
mosaic glass	모자이크글라스
Moseley	모즐리
Mozart	모차르트
moccasin	모카신
Mocha coffee	모카커피
moquette	모켓
mockup	모크업
motor	모터
motor grader	모터그레이더
motor bicycle	모터바이시클
motor bike	모터바이크
motorboat	모터보트
motor siren	모터사이렌
motorcycle	모터사이클
motor show	모터쇼
motor scooter	모터스쿠터
motor sports	모터스포츠
motor oil	모터오일
motorcade	모터케이드
moto-cross	모터크로스
motor-paraglider	모터패러글라이더
Morton	모턴
motel	모텔
motto	모토
Mott	모트
motivation research	모티베이션리서치
motive	모티브
motivism	모티비즘
Maupassant	모파상
moped	모페드
Maupertuis	모페르튀이
Moffet	모펫
mohair	모헤어
mohair plush	모헤어플러시
mohair fleece	모헤어플리스
Mohenjo-Daro	모헨조다로
Monna Vanna	몬나반나
Mond gas	몬드가스
Mond nickel	몬드니켈
montmorillonite	몬모릴로나이트
monsoon	몬순
monster	몬스터
monstera	몬스테라
Montale	몬탈레
Montana	몬태나
Monteverdi	몬테베르디
Montessori	몬테소리
Montezuma	몬테수마
Monte Corvino	몬테코르비노
Montelius	몬텔리우스
Montreal	몬트리올
Montpelier	몬트필리어
Monti	몬티
maul	몰
mole	몰
mold	몰드
moulding	몰딩
Molecular sieves	몰레큘러시브
Molech	몰렉
molectronics	몰렉트로닉스
Molotov	몰로토프
Molotov Plan	몰로토프플랜
Moloch	몰록
Morley	몰리
Molina	몰리나
Molinism	몰리니즘
malt whiskey	몰트위스키
Moltke	몰트케
Maltese	몰티즈
Maugham	몸
Mommsen	몸젠
mob scene	몹신
Montgomery	몽고메리
Mongoloid	몽골로이드
Montgolfier	몽골피에
mongoose	몽구스
Mont-Saint-Michel	몽생미셸
Monge	몽주
Gaspard	가스파르
Montaigne	몽테뉴
Montherlant	몽테를랑
Montesquieu	몽테스키외
Monteux	몽퇴
Monticelli	몽티셀리
Montfort	몽포르
Simon de	시몽 드
Meunier	뫼니에
Mounier	무니에
mood	무드
murexide	무렉시드
Murnau	무르나우
Friedrich Wilhelm	프리드리히 빌헬름
Murillo	무리요
muumuu	무무
movie	무비
moviola	무비올라
movie camera	무비카메라
Mousa	무사
Museion	무세이온
Mussolini	무솔리니
Muscarufin	무스카루핀
muscari	무스카리
Muskarin	무스카린
muscone	무스콘
mustang	무스탕
Muspelheim	무스펠헤임
Moissan	무아상
Muawiyah	무아위야
Moore	무어
Musil	무질
mook	무크
Mut	무트
Muharram	무하람
Muhammad	무함마드
Mujica Lainez	무히카라이네스
moon stone	문스톤
moon fish	문피시
Myrdal	뮈르달
Musset	뮈세
mucin	뮤신
Muir	뮤어
muon	뮤온
Muse	뮤즈
musical	뮤지컬
musical drama	뮤지컬드라마
musical saw	뮤지컬소
musical show	뮤지컬쇼
musical comedy	뮤지컬코미디
musical play	뮤지컬플레이
music	뮤직
music drama	뮤직드라마
music library	뮤직라이브러리
music minus one	뮤직마이너스원
music bar	뮤직바
music video	뮤직비디오
music center	뮤직센터
music hall	뮤직홀
mucoid	뮤코이드
mule	뮬
migraenin	미그레닌
migmatite	미그마타이트
Mignard	미냐르
minaret	미너렛
mineral	미네랄
mineralogy	미네랄로지
mineral water	미네랄워터
mineral terebin	미네랄테레빈
Minerva	미네르바
Minnesota	미네소타
Minaux	미노
Minos	미노스
Minotauros	미노타우로스
minoxidil	미녹시딜
Mignon	미뇽
minuet	미뉴에트
mini	미니
Meany	미니
minidisk	미니디스크
minimal	미니멀
minimalism	미니멀리즘
minimal art	미니멀아트
minimum	미니멈
minimeter	미니미터
minibar	미니바
minibus	미니버스
miniskirt	미니스커트
Minneapolis	미니애폴리스
miniature	미니어처
miniature set	미니어처세트
miniature schnauzer	미니어처슈나우저
minicar	미니카
mini camera	미니카메라
mini communication	미니커뮤니케이션
minicomputer	미니컴퓨터
Mead	미드
midship engine	미드십엔진
midfielder	미드필더
middle	미들
middle stream	미들 스트림
Midlands	미들랜드
middle iron	미들아이언
middleware	미들웨어
Middlesbrough	미들즈브러
Middleton	미들턴
middle four	미들포
middle hurdle race	미들허들레이스
middle hole	미들홀
MIDI	미디
middy	미디
middy blouse	미디블라우스
middy skirt	미디스커트
Midian	미디안
media	미디어
media mix	미디어믹스
media forum	미디어포럼
media player	미디어플레이어
medium	미디엄
medium shot	미디엄숏
middy jacket	미디재킷
mirra	미라
Mirabeau	미라보
Victor Riqueti	빅토르 리케티 마르키스 드
miracidium	미라시듐
mirror ball	미러볼
mirror site	미러사이트
Myron	미론
Mirbeau	미르보
Mimas	미마스
mimosa	미모사
mimic	미믹
missile	미사일
missile monitor	미사일모니터
micelle	미셀
miscellany	미셀러니
micelle colloid	미셀콜로이드
mission school	미션스쿨
Miescher	미셰르
Michelet	미슐레
MIS	미스
Miss	미스
miss	미스
miscast	미스캐스트
Miss Korea	미스코리아
Mistinguett	미스탱게트
mystery	미스터리
mist	미스트
misprint	미스프린트
Michigan	미시간
mysis	미시스
Mrs.	미시즈
missing link	미싱링크
myograph	미오그래프
myoglobin	미오글로빈
myosin	미오신
Milhaud	미요
Darius	다리우스
Mizar	미자르
me generation	미제너레이션
Missouri	미주리
Ms	미즈
Mitscherlich	미처리히
Mitchell	미첼
Michurin	미추린
Mickiewicz	미츠키에비치
Michael	미카엘
Michelangelo	미켈란젤로
Michelozzo di Bartolommeo	미켈로초 디바르톨롬메오
mycotoxin	미코톡신
mycoplasma	미코플라스마
microlayer	미크로레이어
micron	미크론
Mickey Mouse	미키마우스
meter	미터
meter ton	미터톤
mitomycin	미토마이신
mitochondria	미토콘드리아
meet	미트
Midgard	미트가르트
Mithra	미트라
meeting	미팅
Mikhail Romanov	미하일 로마노프
Michels	미헬스
mixer	믹서
mix	믹스
mix mode	믹스 모드
Mindoro	민도로
mince	민스
mince beef	민스비프
mince eggs	민스에그스
minstrel	민스트럴
mince pie	민스파이
mint	민트
mil	밀
Mill	밀
Milano Triennale	밀라노트리엔날레
milanese	밀라니즈
Millerand	밀랑
Alexandre	알렉상드르
Miller	밀러
Millet	밀레
millennium	밀레니엄
Millay	밀레이
Millais	밀레이
Miletus	밀레투스
mylonite	밀로나이트
mylodon	밀로돈
milonga	밀롱가
Milyukov	밀류코프
Milne	밀른
milligal	밀리갈
milligram	밀리그램
milliliter	밀리리터
millimole	밀리몰
millimicron	밀리미크론
millimeter	밀리미터
millibar	밀리바
millivolt	밀리볼트
milliammeter	밀리암미터
milliampere	밀리암페어
milliwatt	밀리와트
Millikan	밀리컨
millicurie	밀리퀴리
military	밀리터리
milling	밀링
milling machine	밀링 머신
milling cuttter	밀링 커터
Mills	밀스
Milwaukee	밀워키
milk	밀크
milk shake	밀크셰이크
milk food	밀크푸드
Milton	밀턴
Miltiades	밀티아데스
MIPS	밉스
Mingus	밍거스
mink	밍크
mink coat	밍크코트
var	바
bar	바
bar	바
bar tack	바 택
bar-girl	바걸
bargain sale	바겐세일
Wagner	바그너
Wagner von Jauregg	바그너 폰야우레크
banana	바나나
vanadium	바나듐
banadinite	바나디나이트
Banach	바나흐
Banja Luka	바냐루카
Barnard	바너드
varnish	바니시
banyan	바니안
vanilla	바닐라
vanillin	바닐린
Baden Baden	바덴바덴
Badoglio	바돌리오
Bardeen	바딘
Barabbâs	바라바
barite	바라이트
bharal	바랄
Varenius	바레니우스
Bahrain	바레인
Bareilly	바레일리
Varro	바로
Barone	바로네
Baroda	바로다
barometer	바로미터
baroswitch	바로스위치
Baroja y Nessi	바로하 이 네시
Baruch	바루크
barium	바륨
Bahr	바르
Warburg	바르부르크
Barbusse	바르뷔스
Bartolus de Saxoferrato	바르톨루스
Barth	바르트
Barthes	바르트
Barlach	바를라흐
Ernst	에른스트
Barye	바리
Barrios	바리오스
baryon	바리온
barricade	바리케이드
baryta	바리타
baritone	바리톤
bas-relief	바릴리프
Ba Maw	바모
Barber	바버
Barbary	바버리
barbarism	바버리즘
barberry	바베리
Barbados	바베이도스
barbell	바벨
Babeuf	바뵈프
babirusa	바비루사
babiana	바비아나
Babism	바비즘
Babits	바비츠
barbecue	바비큐
Babylonia	바빌로니아
Babylon	바빌론
Vasari	바사리
Wassermann	바서만
vaseline	바셀린
vasopressin	바소프레신
Vasubandhu	바수반두
Basutoland	바수톨란드
bassoon	바순
Bachelard	바슐라르
basket	바스켓
basket check	바스켓 체크
basket count	바스켓카운트
Basque	바스크
Basseterre	바스테르
Bast	바스트
Bastian	바스티안
Bastien-Lepage	바스티앵르파주
Bastille	바스티유
bacitracin	바시트라신
bacillus	바실루스
basilisk	바실리스크
Basilius	바실리우스
basilica	바실리카
basilicon	바실리콘
Bayan	바얀
Vailland	바양
Vallejo	바예호
baobab	바오바브
Baumeister	바우마이스터
bow thruster	바우스러스터
Bauer	바우어
voucher system	바우처시스템
bauhinia	바우히니아
boundary	바운더리
boundary line	바운더리라인
bound	바운드
Baumgarten	바움가르텐
bye	바이
Beiderbecke	바이더벡
Weidenreich	바이덴라이히
by-line	바이라인
Bairam	바이람
virus	바이러스
Byron	바이런
viroid	바이로이드
bi-metal	바이메탈
Baybars	바이바르스
vibration	바이브레이션
vibrator	바이브레이터
bible	바이블
Weiss	바이스
vise	바이스
Weismannism	바이스마니즘
Weismann	바이스만
Bison	바이슨
buy American	바이아메리칸
vial	바이알
biathlon	바이애슬론
Beyer	바이어
Baeyer	바이어
buyer	바이어
Weierstrass	바이어슈트라스
bias	바이어스
bias tape	바이어스테이프
violent dig	바이얼런트디그
violation	바이얼레이션
baiera	바이에라
bio	바이오
bionics	바이오닉스
biorhythm	바이오리듬
bioreactor	바이오리액터
viomycin	바이오마이신
biomass	바이오매스
biomechanics	바이오메카닉스
biometry	바이오메트리
biosatellite	바이오새털라이트
bioceramics	바이오세라믹스
biosensor	바이오센서
biosonar	바이오소나
biochip	바이오칩
biocomputer	바이오컴퓨터
biotechnology	바이오테크놀로지
biotron	바이오트론
biofarm	바이오팜
biopak	바이오팩
biofeedback	바이오피드백
biohazard	바이오해저드
Vaiont Dam	바이온트댐
violet	바이올렛
biology	바이올로지
violinist	바이올리니스트
violin	바이올린
violin sonata	바이올린소나타
biome	바이옴
biopsy	바이옵시
Weizmann	바이츠만
bicology	바이콜로지
Viking	바이킹
Vitaglass	바이타글라스
vitalamp	바이타램프
Vitallium	바이탈륨
vitascope	바이터스코프
vitalism	바이털리즘
vital sign	바이털사인
bite	바이트
byte	바이트
Bi-Fi	바이파이
by-play	바이플레이
by-player	바이플레이어
biplane	바이플레인
Weingartner	바인가르트너
binder	바인더
binding	바인딩
Weinheber	바인헤버
bazar	바자
Bazin	바쟁
Basedow	바제도
Basel	바젤
Vazov	바조프
bazooka	바주카
barge	바지
barge line	바지라인
basil	바질
Bacchus	바커스
Wackenroder	바켄로더
Bacchelli	바켈리
bar code	바코드
Bacchus	바쿠스
bark	바크
Bhakra Dam	바크라댐
Barkla	바클라
baclofen	바클로펜
Bacchylides	바킬리데스
Battani	바타니
Batavia	바타비아
Bataille	바타유
Henry	앙리
barter	바터
barter system	바터시스템
bartender	바텐더
Watteau	바토
Jean Antoine	장 앙투안
Batoni	바토니
Batu	바투
Batumi	바투미
Bartlett	바틀릿
Baty	바티
Bahamas	바하마
Bahaism	바하이즘
Baja California	바하칼리포르니아
Bach	바흐
Bachofen	바흐오펜
bahiagrass	바히아그라스
box	박스
box style	박스스타일
box spanner	박스스패너
box coat	박스코트
box pleats	박스플리츠
bacteroid	박테로이드
bacteria	박테리아
bacteria leaching	박테리아리칭
Bacteriorhodopsin	박테리오로돕신
Bacteriocin	박테리오신
bacteriophage	박테리오파지
Bactria	박트리아
barn	반
vanda	반다
Van Dyck	반다이크
vandalism	반달리즘
barn dance	반댄스
Bandello	반델로
bandora	반도라
Bandoeng	반둥
bandicoot	반디쿠트
Van Eyck	반에이크
Bandjarmasin	반자르마신
bankyba	반키바
Bantam	반탐
Banten	반텐
banteng	반텡
Bantustan	반투스탄
Bantu Homeland	반투홈랜드
van't Hoff	판트호프
BAL	발
Balder	발데르
Baldovinetti	발도비네티
Baldung	발둥
Baldr	발드르
Valla	발라
Walras	발라
Valadon	발라동
ballad opera	발라드오페라
balazone	발라존
Wallach	발라흐
balalaika	발랄라이카
Ballet Theater	발레시어터
Wallenstein	발렌슈타인
Balenciaga	발렌시아가
baluchitherium	발루키테리움
volley	발리
volley shoot	발리슛
volley kick	발리킥
Bali Hindu	발리힌두
valine	발린
Balmer	발머
balboa	발보아
balsa	발사
balsam	발삼
Balzac	발자크
balcony	발코니
Valkyrie	발키리
Waltari	발타리
Walther	발터
Walter	발터
Walther von der Vogelweide	발터 폰데어포겔바이데
Waldteufel	발퇴펠
Emil Charles	에밀 샤를
Valhalla	발할라
bop	밥
Bang	방
bungalow	방갈로
Benda	방다
Banville	방빌
baggy pants	배기팬츠
badlands	배드랜드
bad mark system	배드마크시스템
badminton	배드민턴
barrel	배럴
barrel skirt	배럴스커트
Barry	배리
Barrie	배리
James Matthew	제임스 매슈
varistor	배리스터
variotin	배리오틴
varicap	배리캡
Babcock boiler	배브콕보일러
Babbage	배비지
Babbitt	배빗
Babbitt metal	배빗메탈
Bathurst	배서스트
bath	배스
Bagehot	배젓
badge	배지
batcher plant	배처플랜트
batch file	배치파일
batch processing	배치프로세싱
vacuum concrete	배큐엄콘크리트
battery	배터리
baton	배턴
Baton Rouge	배턴루지
baton zone	배턴존
baton touch	배턴터치
vat	배트
bat	배트
batten	배튼
battle royal match	배틀로열매치
battle jacket	배틀재킷
battik	배틱
batting	배팅
batting order	배팅오더
Baffin	배핀
Baffin Land	배핀랜드
bag	백
back	백
back pass rule	백 패스 룰
back guard	백가드
backgammon	백개먼
background	백그라운드
back green	백그린
back gear	백기어
back noise	백노이즈
back dive	백다이브
back drop	백드롭
back-light	백라이트
back lighting	백라이팅
back line	백라인
back row	백로
backboard	백보드
backbone	백본
back-side	백사이드
back-side kick	백사이드킥
back-sight	백사이트
back center	백센터
back-saw	백소
backswing	백스윙
Baxter	백스터
back stage	백스테이지
back step	백스텝
backstop	백스톱
backstretch	백스트레치
back-space	백스페이스
back-space key	백스페이스키
back-spin	백스핀
vaccine	백신
back-up	백업
back-up system	백업시스템
back-up file	백업파일
back-water	백워터
back charge	백차지
backcourt	백코트
back toss	백토스
back tracking	백트래킹
backfire	백파이어
bagpipe	백파이프
backpack	백팩
backhand	백핸드
VAN	밴
Van de Graaff	밴더그래프
Robert Jemison	로버트 제미선
band	밴드
bandwidth	밴드위스
bandage	밴디지
banjo	밴조
Vancouver	밴쿠버
vantage	밴티지
Banting	밴팅
ballast	밸러스트
balance	밸런스
Valentine Day	밸런타인데이
valley	밸리
valve	밸브
valve seat	밸브시트
valve trombone	밸브트롬본
Baptist	뱁티스트
bang hairstyle	뱅 헤어스타일
banker	뱅커
bank	뱅크
bank dealing	뱅크딜링
banking	뱅킹
banking system	뱅킹시스템
bagasse	버개스
bug	버그
buggy car	버기카
burner	버너
Burnett	버넷
Burnet	버넷
Macfarlane	맥팔레인
Burney	버니
vernier	버니어
vernier callipers	버니어캘리퍼스
Bunyan	버니언
Byrd	버드
birdie	버디
variety show	버라이어티쇼
varactor diode	버랙터다이오드
Burma	버마
Burma Route	버마루트
Vermont	버몬트
Bermuda shorts	버뮤다 쇼츠
Bermuda grass	버뮤다그래스
Bermuda pants	버뮤다팬츠
vermiculite	버미큘라이트
vermilion	버밀리온
Birmingham	버밍엄
Birmingham	버밍햄
verbascum	버배스컴
Burbank	버뱅크
bourbon	버번
bourbon whiskey	버번위스키
verbena	버베나
bubble	버블
bubble boy	버블보이
bubble sort	버블소트
bus	버스
berth	버스
burst	버스트
bust	버스트
bust-line	버스트라인
bust point	버스트포인트
bustle	버슬
buzzer	버저
version	버전
virginal	버지널
Virginia	버지니아
Virginia plan	버지니아플랜
Virgil	버질
virtual	버추얼
buccal	버컬
Birkhoff	버코프
Burke	버크
buckram	버크럼
Berkshire	버크셔
Bourke-White	버크화이트
buckle	버클
berkelium	버클륨
Berkeley	버클리
buckling	버클링
bucket	버킷
bucket elevator	버킷엘리베이터
bucket conveyer	버킷컨베이어
bucket pump	버킷펌프
butter	버터
butter knife	버터나이프
buttering	버터링
buttermilk	버터밀크
butter yellow	버터옐로
butter cake	버터케이크
butter cream	버터크림
butterfly valve	버터플라이밸브
Burton	버턴
buttress	버트레스
buttress dam	버트레스댐
button	버튼
button-down skirt	버튼다운스커트
button-down collar	버튼다운칼라
button switch	버튼스위치
buttonhole stitch	버튼홀스티치
Butler	버틀러
vertical line	버티컬라인
vertical blind	버티컬블라인드
butting	버팅
buffer	버퍼
Buffalo	버펄로
buffeting	버피팅
Buck	벅
buckskin	벅스킨
bundle	번들
Byrnes	번스
Burns	번스
Bernstein	번스타인
Leonard	레너드
Burne-Jones	번존스
bungee jump	번지점프
Bunche	번치
bunt	번트
burnt sienna	번트시에나
bunt and run	번트앤드런
bunt hit	번트히트
burlesque	벌레스크
balloon	벌룬
balloon skirt	벌룬스커트
volute pump	벌류트펌프
bulb	벌브
vulcanized fiber	벌커나이즈드파이버
Vulcan	벌컨
bulk	벌크
bulk line	벌크라인
bulk wine	벌크와인
bulky	벌키
bulky sweater	벌키스웨터
bumper	범퍼
bunker	벙커
Bunker Hill	벙커힐
Vega	베가
begaton	베가톤
Weygand	베강
Wegener	베게너
begonia	베고니아
Begin	비긴
Benavente y Martinez	베나벤테
Benin	베냉
Benjamin	베냐민
Benedict	베네딕트
benedictine	베네딕틴
Benelux	베네룩스
Veneziano	베네치아노
bennettites	베네티테스
Bennett	베넷
Enoch Arnold	이넉 아널드
benomyl	베노밀
Venus	베누스
Benedict	베니딕트
Venetian	베니션
Venetian blind	베니션블라인드
Venice Biennale	베니스비엔날레
veneer	베니어
Bethesda	베데스다
Baedeker	베데커
Wedekind	베데킨트
Bethel	베델
Bethell	베델
Beddoes	베도스
bed scene	베드신
Bethlehem	베들레헴
Bedlington terrier	베들링턴테리어
Veracruz	베라크루스
verapamil	베라파밀
veranda	베란다
Pierre Jean de	피에르장 드
Behrens	베렌스
Veronese	베로네세
Paolo Caliari	파올로 칼리아리
Veronica	베로니카
Verrocchio	베로키오
Verga	베르가
Berger	베르거
Bergengruen	베르겐그륀
Bergius	베르기우스
Vergilius Maro	베르길리우스
Bernanos	베르나노스
Bernhardt	베르나르
Bernard de Clairvaux	베르나르 드 클레르보
Bernardin de Saint-Pierre	베르나르댕 드생피에르
Beernaert	베르나르트
Werner	베르너
Verner	베르너
Vernet	베르네
vernonia	베르노니아
Berneux	베르뇌
Bernoulli	베르누이
Bernini	베르니니
Wernicke	베르니케
Verdi	베르디
berberine	베르베린
Berzelius	베르셀리우스
Vercors	베르코르
Berg	베르크
Werther	베르테르
Berto	베르토
Berthollet	베르톨레
Bertram	베르트람
Bertrand	베르트랑
Berthelot	베르틀로
Werfel	베르펠
Verhaeren	베르하렌
Verne	베른
Bernstein	베른슈타인
Bernheim	베른하임
Verlaine	베를렌
Berliner Ensemble	베를리너앙상블
Berlioz	베를리오즈
Hector	엑토르
Berlin blue	베를린블루
Berlin appeal	베를린어필
Berlinguer	베를링구에르
Bergman	베리만
variation	베리에이션
variation route	베리에이션루트
beryllium	베릴륨
Behring	베링
bevatron	베바트론
Weber	베버
Beveridge	베버리지
William Henry	윌리엄 헨리
Bevan	베번
Webern	베베른
Bebel	베벨
bevel gear	베벨기어
Bev	베브
Veblen	베블런
Bevin	베빈
Bessarabia	베사라비아
Vesalius	베살리우스
Bessemer	베서머
Henry	헨리
Bessel	베셀
Vesaas	베소스
Bes	베스
Vesta	베스타
vest	베스트
best	베스트
best member	베스트멤버
best seller	베스트셀러
vest sweater	베스트스웨터
Vespasianus	베스파시아누스
Vespucci	베스푸치
Beatrice	베아트리체
Baird	베어드
bear raiding	베어레이딩
bearing	베어링
bearing metal	베어링메탈
bearing box	베어링박스
Behrman	베어먼
Beowulf	베어울프
BRD	베에르데
Weil	베유
bay	베이
bay rum	베이럼
Babe Ruth	베이브 루스
baby	베이비
baby golf	베이비골프
baby set	베이비세트
baby oil	베이비오일
baby powder	베이비파우더
bass	베이스
base	베이스
bass drum	베이스드럼
base line	베이스라인
bass baritone	베이스바리톤
baseball	베이스볼
bass viol	베이스비올
base camp	베이스캠프
bass clarinet	베이스클라리넷
bass clef	베이스클레프
bass tuba	베이스튜바
bass trumpet	베이스트럼펫
bass trombone	베이스트롬본
bass flute	베이스플루트
Basie	베이시
BASIC	베이식
basic	베이식
Basic English	베이식잉글리시
beige	베이지
Bates	베이츠
Baker	베이커
bacon	베이컨
Bacon	베이컨
Francis	프랜시스
bakelite	베이클라이트
baking powder	베이킹파우더
Bateson	베이트슨
vapor lock	베이퍼로크
veil	베일
Beza	베자
Betjeman	베처먼
John	존
Beccaria	베카리아
Becket	베켓
Becque	베크
becquerel	베크렐
beclomethasone	베클로메타손
betta	베타
beta-naphthol	베타나프톨
betamethasone	베타메타손
beta version	베타버전
betacarotin	베타카로틴
beta tester	베타테스터
beta test	베타테스트
betatron	베타트론
better	베터
Betelgeuse	베텔게우스
Beethoven	베토벤
Bethmann-Hollweg	베트만홀베크
Vietminh	베트민
Vietcong	베트콩
Betti	베티
vetiver	베티베르
Behaim	베하임
Becher	베허
Behistun	베히스툰
vector	벡터
Vector	벡터
vectorscope	벡터스코프
vector potential	벡터퍼텐셜
Behn	벤
Benn	벤
Venn	벤
Venn diagram	벤다이어그램
Bentham	벤담
Jeremy	제러미
vender	벤더
bend	벤드
bending moment	벤딩모멘트
Benzedrine	벤제드린
benzene	벤젠
Benzonatate	벤조나테이트
benzonitrile	벤조니트릴
benzaldehyde	벤즈알데하이드
benzoquinone	벤조퀴논
benzophenone	벤조페논
benzopyrene	벤조피렌
benzol	벤졸
benzidine	벤지딘
benzine	벤진
benzyl	벤질
benzyl alcohol	벤질알코올
venture business	벤처비즈니스
venture capital	벤처캐피털
venture fund	벤처펀드
Benz	벤츠
bench	벤치
bench-mark	벤치마크
bench-marking	벤치마킹
bench press	벤치프레스
bentonite	벤토나이트
benthos	벤토스
Venturi	벤투리
vent	벤트
Ventris	벤트리스
Bel	벨
Bayle	벨
bell	벨
belladonna	벨라도나
Bellatrix	벨라트릭스
Bellamy	벨러미
bellerphon	벨러폰
Bellerophon	벨레로폰
belemnite	벨렘나이트
Bellona	벨로나
velocity microphone	벨로시티마이크로폰
Beloperone	벨로페로네
velour	벨루어
Bellini	벨리니
belly dance	벨리댄스
belly roll	벨리롤
Belisarius	벨리사리우스
bellis	벨리스
veliger	벨리저
Belize	벨리즈
Bellingshausen	벨링스하우젠
Bellman	벨만
bell metal	벨메탈
Belmopan	벨모판
velvet	벨벳
velvet silk	벨벳 실크
bell-bottoms	벨보텀스
Bel-Ami	벨아미
belt	벨트
beltline	벨트라인
belt sack	벨트색
belt conveyer	벨트컨베이어
belt pulley	벨트풀리
Belfast	벨파스트
Welhaven	벨하벤
